Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title
QIU81647,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81695,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81227,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81083,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81203,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81023,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81047,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81311,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81191,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81095,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81323,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81119,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81239,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80939,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80951,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80963,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80975,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81107,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81215,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78721,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81707,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81659,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80902,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Iran,Homo sapiens,oronasopharynx,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78849,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78861,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-06,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81407,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81011,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81035,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81179,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81131,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81143,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81167,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81587,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81275,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81611,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81539,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81263,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81359,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81431,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81383,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81287,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81335,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81299,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81479,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81527,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81347,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81371,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-27,"envelope protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIU81155,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81251,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81599,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81623,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78781,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78838,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78757,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78826,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78769,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81912,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,,2020-03-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78733,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78745,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78709,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81900,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81767,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81887,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81779,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81791,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81803,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81815,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81827,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-24,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81839,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81851,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81863,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81875,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06881,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: RI,Homo sapiens,oronasopharynx,2020-02-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06893,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: CA,Homo sapiens,oronasopharynx,2020-02-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06905,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,oronasopharynx,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06917,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06929,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06965,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06977,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: TX,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06989,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Israel,Homo sapiens,,2020-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06941,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: OR,Homo sapiens,oronasopharynx,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT06953,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIT07001,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Israel,Homo sapiens,,2020-03,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60548,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60451,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60524,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60371,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60584,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60441,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60481,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60491,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60512,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS61400,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-24,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60560,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60421,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60536,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-24,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS60461,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
