Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Protein_Type
QIV15046,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-03,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78804,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-08,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78792,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80915,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Anhui, Fuyang",Homo sapiens,feces,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81551,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81503,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78815,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81563,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81455,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81491,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81683,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81395,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81419,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81467,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81515,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81575,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81443,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81719,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81731,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81755,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81671,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80927,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80999,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81743,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80987,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81059,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81071,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81635,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81647,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81695,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81227,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81083,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81203,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81023,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81047,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81311,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81191,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81095,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81323,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81119,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81239,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80939,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80951,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80963,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80975,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81107,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81215,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78721,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81707,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81659,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80902,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Iran,Homo sapiens,oronasopharynx,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78849,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78861,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-06,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81407,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81011,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81035,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81179,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81131,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81143,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81167,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81587,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81275,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81611,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81539,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81263,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81359,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81431,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81383,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81287,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81335,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81299,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81479,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81527,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81347,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81371,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-27,"envelope protein, partial [Severe acute respiratory syndrome coronavirus 2]","envelope protein, partial"
QIU81155,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81251,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81599,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81623,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78781,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78838,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78757,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78826,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78769,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81912,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,,2020-03-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78733,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78745,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU78709,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81900,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81767,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81887,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81779,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81791,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81803,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81815,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Wuhan,Homo sapiens,lung,2019-12-30,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81827,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-24,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81839,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81851,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81863,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU81875,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China: Beijing,Homo sapiens,oronasopharynx,2020-01-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06881,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: RI,Homo sapiens,oronasopharynx,2020-02-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06893,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: CA,Homo sapiens,oronasopharynx,2020-02-26,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06905,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,oronasopharynx,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06917,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06929,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06965,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06977,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: TX,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06989,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Israel,Homo sapiens,,2020-02,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06941,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: OR,Homo sapiens,oronasopharynx,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT06953,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIT07001,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Israel,Homo sapiens,,2020-03,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIS60548,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIS60451,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIS60524,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIS60371,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIS60584,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-23,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIS60441,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIS60481,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
